[ 8.1619e-01 4.6568e-01 1.3051e+00 8.2746e-01 3.6652e-01 ] -1.00000e+00 1.00000e+00 -1.12206e+00
[ 8.1256e-01 4.6230e-01 1.3006e+00 8.2392e-01 3.6389e-01 ] -9.98327e-01 1.00098e+00 -1.12206e+00
[ 8.0853e-01 4.5837e-01 1.2955e+00 8.2005e-01 3.6117e-01 ] -9.96356e-01 1.00212e+00 -1.12317e+00
[ 8.0531e-01 4.5502e-01 1.2913e+00 8.1705e-01 3.5925e-01 ] -9.94658e-01 1.00310e+00 -1.12536e+00
[ 8.0243e-01 4.5182e-01 1.2874e+00 8.1443e-01 3.5777e-01 ] -9.93011e-01 1.00405e+00 -1.12859e+00
[ 7.9988e-01 4.4875e-01 1.2839e+00 8.1220e-01 3.5672e-01 ] -9.91417e-01 1.00496e+00 -1.13284e+00
[ 7.9761e-01 4.4579e-01 1.2806e+00 8.1031e-01 3.5607e-01 ] -9.89856e-01 1.00586e+00 -1.13809e+00
[ 7.9560e-01 4.4290e-01 1.2776e+00 8.0872e-01 3.5578e-01 ] -9.88318e-01 1.00673e+00 -1.14433e+00
[ 7.9381e-01 4.4007e-01 1.2748e+00 8.0741e-01 3.5583e-01 ] -9.86790e-01 1.00760e+00 -1.15152e+00
[ 7.9221e-01 4.3726e-01 1.2721e+00 8.0635e-01 3.5620e-01 ] -9.85261e-01 1.00848e+00 -1.15966e+00
[ 7.9078e-01 4.3444e-01 1.2696e+00 8.0550e-01 3.5686e-01 ] -9.83717e-01 1.00936e+00 -1.16873e+00
[ 7.8947e-01 4.3161e-01 1.2671e+00 8.0484e-01 3.5778e-01 ] -9.82148e-01 1.01027e+00 -1.17872e+00
[ 7.8827e-01 4.2871e-01 1.2647e+00 8.0433e-01 3.5895e-01 ] -9.80540e-01 1.01120e+00 -1.18961e+00
[ 7.8714e-01 4.2574e-01 1.2623e+00 8.0395e-01 3.6034e-01 ] -9.78879e-01 1.01216e+00 -1.20140e+00
[ 7.8605e-01 4.2266e-01 1.2599e+00 8.0365e-01 3.6191e-01 ] -9.77154e-01 1.01318e+00 -1.21406e+00
[ 7.8496e-01 4.1944e-01 1.2574e+00 8.0342e-01 3.6365e-01 ] -9.75348e-01 1.01424e+00 -1.22760e+00
[ 7.8384e-01 4.1605e-01 1.2548e+00 8.0320e-01 3.6553e-01 ] -9.73448e-01 1.01537e+00 -1.24201e+00
